City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
78,puerto aysen,-45.4,-72.7,289.41,73,85,4.13,CL,2024-02-02
79,invercargill,-46.4,168.35,282.05,91,98,2.68,NZ,2024-02-02
80,murun-kuren,49.6342,100.1625,252.47,92,100,0.57,MN,2024-02-02
81,port augusta,-32.5,137.7667,295.0,60,0,2.8,AU,2024-02-02
82,sinabang,2.4803,96.3801,299.51,81,91,0.9,ID,2024-02-02
83,labrador city,52.9463,-66.9114,258.1,47,20,1.54,CA,2024-02-02
84,amga,60.8953,131.9608,236.62,100,100,0.97,RU,2024-02-02
85,aasiaat,68.7098,-52.8699,248.14,98,100,2.47,GL,2024-02-02
86,rio grande,-32.035,-52.0986,303.21,61,0,7.22,BR,2024-02-02
87,inhambane,-23.865,35.3833,297.76,77,100,3.6,MZ,2024-02-02
88,rongelap,11.1635,166.8941,299.58,85,100,10.18,MH,2024-02-02
89,sabang,5.8933,95.3214,300.97,74,16,3.52,ID,2024-02-02
90,christchurch,-43.5333,172.6333,285.88,78,100,1.03,NZ,2024-02-02
91,tura,25.5198,90.2201,286.51,55,0,0.64,IN,2024-02-02
92,mantua,45.1667,10.7833,279.73,67,14,1.34,IT,2024-02-02
93,peace river,56.2501,-117.286,273.32,93,100,2.06,CA,2024-02-02
94,mejit,10.2753,170.8646,299.71,87,97,9.99,MH,2024-02-02
95,la peca,-5.6111,-78.435,303.28,55,93,0.9,PE,2024-02-02
96,salina cruz,16.1667,-95.2,301.56,52,15,5.72,MX,2024-02-02
97,el granada,37.5027,-122.4694,287.15,80,75,6.17,US,2024-02-02
98,bodaybo,57.8506,114.1933,248.78,98,100,0.22,RU,2024-02-02
99,olonkinbyen,70.9221,-8.7187,267.84,59,100,8.52,SJ,2024-02-02
100,alice springs,-23.7,133.8833,302.16,20,99,2.57,AU,2024-02-02
101,lompoc,34.6391,-120.4579,288.71,56,40,4.12,US,2024-02-02
102,acapulco de juarez,16.8634,-99.8901,303.05,54,0,6.17,MX,2024-02-02
103,guadalupe,25.6833,-100.25,305.57,38,0,6.71,MX,2024-02-02
104,choibalsan,48.0667,114.5,244.26,90,5,2.22,MN,2024-02-02
105,iskateley,67.6803,53.1512,267.05,89,100,10.28,RU,2024-02-02
106,shanhaiguan,39.9988,119.7564,267.96,42,100,2.18,CN,2024-02-02
107,karasburg,-28.0167,18.75,303.46,33,76,2.82,NA,2024-02-02
108,guaruja,-23.9931,-46.2564,294.07,94,40,2.06,BR,2024-02-02
109,imbituva,-25.23,-50.6044,302.49,33,34,2.17,BR,2024-02-02
110,korla,41.7597,86.1469,268.12,81,92,2.08,CN,2024-02-02
111,puerto baquerizo moreno,-0.9,-89.6,302.7,79,40,2.06,EC,2024-02-02
112,ghat,24.9647,10.1728,286.15,23,54,1.91,LY,2024-02-02
113,ariquemes,-9.9133,-63.0408,305.2,57,100,0.55,BR,2024-02-02
114,ilulissat,69.2167,-51.1,251.16,64,75,7.2,GL,2024-02-02
115,greenville,35.6127,-77.3663,291.24,46,40,6.69,US,2024-02-02
116,shetpe,44.1667,52.1167,275.79,90,100,4.92,KZ,2024-02-02
117,atafu village,-8.5421,-172.5159,302.02,76,100,5.25,TK,2024-02-02
118,brisas de zicatela,15.8369,-97.0419,302.44,65,40,5.14,MX,2024-02-02
119,puerto natales,-51.7236,-72.4875,283.4,93,75,4.63,CL,2024-02-02
120,lihue,21.9789,-159.3672,295.73,73,20,7.72,US,2024-02-02
121,sadri,25.1833,73.4333,291.49,40,11,2.5,IN,2024-02-02
122,san patricio,28.017,-97.5169,298.07,71,100,7.68,US,2024-02-02
123,fort saskatchewan,53.7168,-113.2187,275.7,98,100,2.06,CA,2024-02-02
124,punta arenas,-53.15,-70.9167,278.21,93,100,6.69,CL,2024-02-02
125,sisimiut,66.9395,-53.6735,250.94,96,98,3.92,GL,2024-02-02
126,ribeira grande,38.5167,-28.7,290.8,94,40,4.63,PT,2024-02-02
127,urucara,-2.5364,-57.76,297.49,95,100,0.97,BR,2024-02-02
128,kenora,49.8167,-94.4337,270.69,93,100,3.09,CA,2024-02-02
129,barkhan,29.8977,69.5256,283.19,55,100,1.5,PK,2024-02-02
130,apolinario saravia,-24.4328,-63.9954,314.67,19,0,4.45,AR,2024-02-02
131,la passe,45.5549,-0.8967,283.14,89,15,2.9,FR,2024-02-02
132,namibe,-15.1961,12.1522,298.46,86,100,2.6,AO,2024-02-02
133,pyapon,16.2833,95.6833,294.16,67,5,2.75,MM,2024-02-02
134,iqaluit,63.7506,-68.5145,248.0,62,20,6.17,CA,2024-02-02
135,kaoma,-14.7833,24.8,292.0,88,47,2.35,ZM,2024-02-02
136,coquimbo,-29.9533,-71.3436,293.0,77,40,6.17,CL,2024-02-02
